"","Totale stemmen","VVD","CDA","PVV","D66","SP","GL","PvdA","CU","50+","PvdD","SGP","FvD","DENK"
"Eindhoven",125866,0.191648260848839,0.0864570257257719,0.125927573768929,0.161115789808209,0.115988432142119,0.121081149794226,0.0525956175615337,0.0157786852684601,0.0357999777541195,0.0401220345446745,0.00198623933389478,0.0169942637408037,0.0345049497084201
"Elburg",14640,0.160997267759563,0.195696721311475,0.104030054644809,0.0491120218579235,0.0504098360655738,0.0298497267759563,0.0258196721311475,0.181762295081967,0.0228142076502732,0.0140710382513661,0.155737704918033,0.00956284153005465,0.000136612021857923
"Emmen",65810,0.149962011852302,0.143671174593527,0.1886947272451,0.0815529554778909,0.155401914602644,0.0654003950767361,0.0855037228384744,0.0296763409816137,0.0457073393101352,0.0214557058197842,0.00498404497796687,0.023066403282176,0.00492326394165021
"Enkhuizen",11351,0.228878512906352,0.102017443397058,0.131794555545767,0.119460840454585,0.109770064311514,0.0904766099903092,0.070654567879482,0.0215840014095674,0.0362963615540481,0.0407012598008986,0.0144480662496696,0.0196458461809532,0.0142718703197956
"Enschede",90902,0.167609073507734,0.122802578601131,0.157653296957163,0.135992607423379,0.117192140986997,0.0943213570658511,0.0642120085366659,0.0355437724142483,0.0233658225341577,0.0280631889287364,0.00413632263316539,0.0185914501331104,0.0305163802776617
"Epe",21154,0.240001890895339,0.155053417793325,0.122530017963506,0.097381109955564,0.0756358135577196,0.055355961047556,0.0644795310579559,0.0532759761747187,0.0356906495225489,0.0264252623617283,0.0422142384419022,0.0147489836437553,0.0172071475843812
"Ermelo",17328,0.210410895660203,0.206255771006464,0.0947599261311173,0.0762349953831948,0.0533240997229917,0.0564404432132964,0.0348568790397045,0.127943213296399,0.0240073868882733,0.0255078485687904,0.0693097876269621,0.0170244690674054,0.00392428439519852
"Etten-Leur",25724,0.265938423262323,0.137653553102161,0.162183175244907,0.102005908878868,0.11129684341471,0.0742108536774996,0.0414010262789613,0.00940755714507853,0.0354921474109781,0.0218084279272275,0.00198258435702068,0.0156663038407713,0.0209531954594931
"Ferwerderadiel",5309,0.14692032397815,0.280843850065926,0.106423055189301,0.0651723488415897,0.107553211527595,0.0617818798267094,0.0636654737238651,0.0772273497833867,0.0348464870973818,0.0275004708984743,0.0101714070446412,0.0171407044641175,0.000753437558862309
"Franekeradeel",12657,0.179189381369993,0.217903136604251,0.114245081772932,0.0886465987200759,0.107687445682231,0.0825630086118354,0.0812198783281978,0.0444023070237813,0.0338942877459114,0.027020621000237,0.00481946748834637,0.017539701351031,0.000869084301177214
"De Fryske Marren",32876,0.220981871273878,0.22639615525003,0.110597396276919,0.0962404185424018,0.0929249300401509,0.0670702031877357,0.0709636208784524,0.0315427667599465,0.0291397980289573,0.0229650809100864,0.0109502372551405,0.0186154033337389,0.00161211826256236
"Geertruidenberg",13290,0.252972159518435,0.127539503386005,0.192174567343868,0.0876598946576373,0.13732129420617,0.0602708803611738,0.0437923250564334,0.00955605718585403,0.0393528969149737,0.0215951843491347,0.00316027088036117,0.0227990970654628,0.0018058690744921
"Geldermalsen",17190,0.256428155904596,0.134264107038976,0.166375799883653,0.0875509016870273,0.056369982547993,0.0533449680046539,0.0425247236765561,0.0253054101221641,0.0322862129144852,0.0196044211751018,0.10151250727167,0.0211169284467714,0.00331588132635253
"Geldrop-Mierlo",24222,0.219304764263892,0.139418710263397,0.152877549335315,0.124184625547023,0.133762695070597,0.0809594583436545,0.0437205845925192,0.0123441499463298,0.036124184625547,0.0298901824787383,0.00127982825530509,0.016390058624391,0.0097432086532904
"Gemert-Bakel",18515,0.23067782878747,0.199351876856603,0.153551174723197,0.0923575479341075,0.16003240615717,0.0576289495004051,0.0313799621928166,0.00367269781258439,0.0331623008371591,0.0211180124223602,0.00124223602484472,0.0151228733459357,0.000702133405347016
"Gennep",10701,0.212690402766097,0.142042799738342,0.128586113447341,0.103635174282777,0.217269414073451,0.0647603027754416,0.0477525464909822,0.00775628445939632,0.0262592281095225,0.026539575740585,0.0010279413138959,0.015699467339501,0.00598074946266704
"Giessenlanden",9813,0.255579333537145,0.177111994293284,0.108223784775298,0.068990115153368,0.063385305207378,0.0400489147049832,0.0512585345969632,0.104147559360033,0.0248649750331193,0.0180372974625497,0.070111077142566,0.0175277692856415,0.000713339447671456
"Gilze en Rijen",16143,0.241776621445828,0.139750975655083,0.145945611100787,0.112494579693985,0.122344050052654,0.0719197175246237,0.0429907699931859,0.00557517190113362,0.0442296970823267,0.0226104193768197,0.00185839063371121,0.0192653162361395,0.029238679303723
"Goeree-Overflakkee",31701,0.19491498690893,0.129491183243431,0.156272672786347,0.0532159868773856,0.06630705655973,0.0346361313523233,0.0434055708021829,0.0734992586984638,0.0301567773887259,0.0207879877606385,0.178038547679884,0.0190214819721775,0.000252357969780133
"Goes",23298,0.200703923083526,0.147394626148167,0.110567430680745,0.099922740149369,0.104558331187226,0.0800927118207571,0.0597046956820328,0.0491029272898961,0.0309468623916216,0.0314619280624946,0.0649841188084814,0.0153661258477123,0.00519357884796978
"Goirle",15055,0.247027565592826,0.134041846562604,0.127333111922949,0.135237462636998,0.133842577216871,0.0846894719362338,0.0486881434739289,0.00571238791099303,0.0364662902690136,0.0238458983726337,0.000464961806708735,0.0173364330787114,0.0053138492195284
"Gooise Meren",35648,0.341646095152603,0.0912253141831239,0.0739452423698384,0.182646992818671,0.045556552962298,0.0903557001795332,0.0586568671454219,0.0167751346499102,0.0251346499102334,0.0394131508078995,0.00392728904847397,0.0198047576301616,0.0109122531418312
"Gorinchem",21304,0.213387157341344,0.100215921892602,0.135326699211416,0.112748779571911,0.0896075854299662,0.0817217423957942,0.0628989861058956,0.0525253473526098,0.0308392790086369,0.0293372136687946,0.0221554637626737,0.0187758167480285,0.0504600075103267
"Gouda",43572,0.168938768016157,0.100982282199578,0.125562287707702,0.131965482419903,0.0731662535573304,0.106949417056825,0.0627237675571468,0.0624483613329661,0.0275865234554301,0.0357569081061232,0.0458092352887175,0.0182915633893326,0.039819149912788
"Grave",7856,0.233070264765784,0.151349287169043,0.143711812627291,0.116089613034623,0.161023421588595,0.0670824847250509,0.0432790224032587,0.00636456211812627,0.0334775967413442,0.0263492871690428,0.00127291242362525,0.0161659877800407,0.000763747454175153
"'s-Gravenhage",317430,0.212944586207983,0.0625429228491321,0.142525911224522,0.16270988879438,0.0554893992376272,0.123624106102133,0.0686261537976877,0.0193239454367892,0.0247298617017925,0.0434268972686892,0.00516019279841225,0.018211889235422,0.0606842453454305
"Groningen",128094,0.138148547160679,0.0673021374927787,0.0680984277171452,0.202765156837947,0.110481365247396,0.192374350086655,0.0814870329601699,0.0449435570752728,0.0170265586210127,0.0525941886427155,0.00353646540821584,0.0173310225303293,0.00391119021968242
"Grootegast",7461,0.142474199169012,0.27503015681544,0.116204262163249,0.0666130545503284,0.104677657150516,0.055354510119287,0.04583835946924,0.108430505294196,0.0247956038064603,0.0176919983916365,0.0234553008980029,0.0193003618817853,0.000134030290845731
"Gulpen-Wittem",9825,0.173333333333333,0.189821882951654,0.181577608142494,0.0938422391857506,0.121933842239186,0.0871246819338422,0.0434605597964377,0.00702290076335878,0.0513994910941476,0.0293129770992366,0.00305343511450382,0.0169974554707379,0.00111959287531807
"Haaksbergen",15888,0.240747734138973,0.246475327291037,0.112789526686808,0.109264853977845,0.0998237663645519,0.0501007049345418,0.051233635448137,0.0107628398791541,0.0297079556898288,0.0159239677744209,0.00201409869083585,0.0155463242698892,0.0156092648539778
"Haaren",8845,0.287846240814019,0.198304126625212,0.102656868287168,0.116902204635387,0.102996042962126,0.0703222159412097,0.0385528547201809,0.00825325042396834,0.0366308648954211,0.0229508196721311,0.00180893159977388,0.0117580553985302,0.00101752402487281
