"Muni","GL","Urban_index","High_edu_perc","Mean_income","Non_west"
"Waddinxveen",0.0575442308822665,2.27807083647325,0.27,26.7,2
"Wageningen",0.203959208158368,2.71632865314613,0.45,25.3,3
"Wassenaar",0.04942054082856,2.07485604606526,0.39,39.3,3
"Waterland",0.0963201627946413,0.878542510121457,0.28,29.6,2
"Weert",0.0582373709044115,1.79810407422348,0.24,24.8,3
"Weesp",0.121934309732213,2.56296691568837,0.34,26.9,3
"Werkendam",0.036563614744352,0.74487895716946,0.18,26.5,1
"West Maas en Waal",0.0539519176650318,0.292087095061073,0.25,25.6,1
"Westerveld",0.0845059533013762,0,0.24,25.6,1
"Westervoort",0.0841190027236539,1.84789859906604,0.23,24.3,2
"Westland",0.0397389105117293,2.11939026699489,0.24,26.3,2
"Weststellingwerf",0.0767431841959505,0.830210772833724,0.15,23,1
"Westvoorne",0.0404870940882598,0.732117812061711,0.26,31.8,1
"Wierden",0.0368595650571323,0.943045810978126,0.29,26.4,1
"Wijchen",0.0720542310914769,1.72627201565558,0.31,25.8,2
"Wijdemeren",0.0673674764438177,0.733049040511727,0.27,30.1,1
"Wijk bij Duurstede",0.0868717081734833,1.63744680851064,0.28,27.9,2
"Winsum",0.126329936163064,0.444852941176471,0.31,24.2,1
"Winterswijk",0.0870721169823862,1.77420470262794,0.2,23.5,2
"Woensdrecht",0.0475434558298278,0.986721611721612,0.19,25.5,1
"Woerden",0.0788211727570717,1.83964278780819,0.33,28.4,2
"Wormerland",0.105702764976959,2.02465233881163,0.27,26.7,2
"Woudenberg",0.0400395452298567,1.32781717888101,0.31,27.2,2
"Woudrichem",0.0412954616916466,0.225584594222834,0.25,26.8,1
"Zaanstad",0.104450540730496,2.73008849557522,0.25,24.3,3
"Zaltbommel",0.0570491419199906,0.789397764154345,0.26,26.5,2
"Zandvoort",0.0667665511752037,2.68442865600947,0.26,26.3,2
"Zederik",0.0347599391701065,0.0534296028880866,0.22,27.1,1
"Zeewolde",0.0578210590383445,1.29875333926981,0.25,25.6,2
"Zeist",0.117065041920533,2.36155315085933,0.44,29.5,3
"Zevenaar",0.0721999235474006,1.75108091414453,0.25,24.2,2
"Zoetermeer",0.0835081773187002,3.2885308968502,0.3,26,3
"Zoeterwoude",0.0845861257018656,1.05495818399044,0.3,28.8,2
"Zuidhorn",0.100162074554295,0.356839872746554,0.35,25.3,1
"Zuidplas",0.0570766718566058,1.8350614902339,0.27,28.5,2
"Zundert",0.0498024939973666,0.602493074792244,0.19,25.6,1
"Zutphen",0.135194436943019,2.29340937896071,0.33,23.6,2
"Zwartewaterland",0.0267646848904432,0.904078888390856,0.2,24.9,1
"Zwijndrecht",0.0594879797867202,2.9772624943719,0.23,25.2,3
"Zwolle",0.118195917235118,2.71095181202708,0.4,24.9,3
