"Muni","CDA_frac","Urban_index","High_educated_frac","Mean_income","Non_west_frac","CDA_abs","Total_abs","Non_west"
"Valkenburg aan de Geul",0.167,0.711,0.26,25.3,0.03,1843,11012,"1"
"Valkenswaard",0.149,2.106,0.21,25.3,0.04,2927,19636,"1"
"Veendam",0.101,1.479,0.22,22.2,0.07,1702,16823,"2"
"Veenendaal",0.145,2.952,0.28,24.8,0.12,5822,40046,"3"
"Veere",0.171,0.251,0.22,26.7,0.02,2561,14979,"1"
"Veldhoven",0.139,2.49,0.34,27,0.06,3868,27769,"2"
"Velsen",0.089,2.75,0.25,25.8,0.09,3737,41877,"2"
"Venlo",0.129,2.317,0.23,23.3,0.12,7367,57159,"3"
"Venray",0.182,1.413,0.25,24.7,0.09,4741,26100,"2"
"Vianen",0.135,1.29,0.27,26.5,0.1,1666,12319,"3"
"Vlaardingen",0.099,3.571,0.22,23.6,0.2,4181,42228,"3"
"Vlagtwedde",0.16,0.296,0.22,22,0.04,1591,9930,"1"
"Vlissingen",0.106,2.796,0.19,23.1,0.11,2696,25529,"3"
"Voerendaal",0.175,0.499,0.33,26.8,0.03,1473,8432,"1"
"Voorschoten",0.116,2.652,0.37,30.9,0.09,1889,16271,"2"
"Voorst",0.187,0.717,0.27,26.3,0.03,2960,15833,"1"
"Vught",0.112,1.936,0.4,29.9,0.04,1862,16693,"1"
"Waalre",0.137,1.054,0.36,31.3,0.05,1503,11009,"2"
"Waalwijk",0.133,1.821,0.24,24.9,0.08,3750,28270,"2"
"Waddinxveen",0.136,2.278,0.27,26.7,0.08,2319,17013,"2"
"Wageningen",0.079,2.716,0.45,25.3,0.12,1853,23338,"3"
"Wassenaar",0.123,2.075,0.39,39.3,0.11,1843,15014,"3"
"Waterland",0.143,0.879,0.28,29.6,0.05,1689,11794,"2"
"Weert",0.148,1.798,0.24,24.8,0.1,4493,30307,"3"
"Weesp",0.097,2.563,0.34,26.9,0.15,1119,11539,"3"
"Werkendam",0.185,0.745,0.18,26.5,0.03,3116,16820,"1"
"West Maas en Waal",0.152,0.292,0.25,25.6,0.02,1893,12437,"1"
"Westerveld",0.137,0,0.24,25.6,0.02,1775,12934,"1"
"Westervoort",0.126,1.848,0.23,24.3,0.08,1202,9546,"2"
"Westland",0.189,2.119,0.24,26.3,0.06,12452,66031,"2"
"Weststellingwerf",0.164,0.83,0.15,23,0.04,2668,16249,"1"
"Westvoorne",0.114,0.732,0.26,31.8,0.04,1099,9608,"1"
"Wierden",0.298,0.943,0.29,26.4,0.02,4853,16278,"1"
"Wijchen",0.137,1.726,0.31,25.8,0.05,3592,26258,"2"
"Wijdemeren",0.131,0.733,0.27,30.1,0.04,2043,15601,"1"
"Wijk bij Duurstede",0.129,1.637,0.28,27.9,0.05,1983,15379,"2"
"Winsum",0.177,0.445,0.31,24.2,0.03,1579,8929,"1"
"Winterswijk",0.157,1.774,0.2,23.5,0.06,2835,18054,"2"
"Woensdrecht",0.142,0.987,0.19,25.5,0.03,1790,12599,"1"
"Woerden",0.157,1.84,0.33,28.4,0.08,5176,32948,"2"
"Wormerland",0.099,2.025,0.27,26.7,0.06,1034,10416,"2"
"Woudenberg",0.159,1.328,0.31,27.2,0.05,1283,8092,"2"
"Woudrichem",0.21,0.226,0.25,26.8,0.02,2002,9541,"1"
"Zaanstad",0.074,2.73,0.25,24.3,0.2,6510,88214,"3"
"Zaltbommel",0.13,0.789,0.26,26.5,0.06,2213,17073,"2"
"Zandvoort",0.076,2.684,0.26,26.3,0.08,815,10679,"2"
"Zederik",0.21,0.053,0.22,27.1,0.02,1937,9206,"1"
"Zeewolde",0.146,1.299,0.25,25.6,0.06,1922,13144,"2"
"Zeist",0.098,2.362,0.44,29.5,0.14,3753,38406,"3"
"Zevenaar",0.156,1.751,0.25,24.2,0.05,3262,20928,"2"
"Zoetermeer",0.1,3.289,0.3,26,0.2,7424,74352,"3"
"Zoeterwoude",0.171,1.055,0.3,28.8,0.05,946,5521,"2"
"Zuidhorn",0.188,0.357,0.35,25.3,0.03,2322,12340,"1"
"Zuidplas",0.123,1.835,0.27,28.5,0.08,3234,26333,"2"
"Zundert",0.183,0.602,0.19,25.6,0.03,2364,12911,"1"
